140723,3,和顺县,140700
140724,3,昔阳县,140700
140725,3,寿阳县,140700
140726,3,太谷县,140700
140727,3,祁县,140700
140728,3,平遥县,140700
140729,3,灵石县,140700
140781,3,介休市,140700
140800,2,运城市,140000
140801,3,市辖区,140800
140802,3,盐湖区,140800
140821,3,临猗县,140800
140822,3,万荣县,140800
140823,3,闻喜县,140800
140824,3,稷山县,140800
140825,3,新绛县,140800
140826,3,绛县,140800
140827,3,垣曲县,140800
140828,3,夏县,140800
140829,3,平陆县,140800
140830,3,芮城县,140800
140881,3,永济市,140800
140882,3,河津市,140800
140900,2,忻州市,140000
140901,3,市辖区,140900
140902,3,忻府区,140900
140921,3,定襄县,140900
140922,3,五台县,140900
140923,3,代县,140900
140924,3,繁峙县,140900
140925,3,宁武县,140900
140926,3,静乐县,140900
140927,3,神池县,140900
140928,3,五寨县,140900
140929,3,岢岚县,140900
140930,3,河曲县,140900
140931,3,保德县,140900
140932,3,偏关县,140900
140981,3,原平市,140900
141000,2,临汾市,140000
141001,3,市辖区,141000
141002,3,尧都区,141000
141021,3,曲沃县,141000
141022,3,翼城县,141000
141023,3,襄汾县,141000
141024,3,洪洞县,141000
141025,3,古县,141000
141026,3,安泽县,141000
141027,3,浮山县,141000
141028,3,吉县,141000
141029,3,乡宁县,141000
141030,3,大宁县,141000
141031,3,隰县,141000
141032,3,永和县,141000
141033,3,蒲县,141000
141034,3,汾西县,141000
141081,3,侯马市,141000
141082,3,霍州市,141000
141100,2,吕梁市,140000
141101,3,市辖区,141100
141102,3,离石区,141100
141121,3,文水县,141100
141122,3,交城县,141100
141123,3,兴县,141100
141124,3,临县,141100
141125,3,柳林县,141100
141126,3,石楼县,141100
141127,3,岚县,141100
141128,3,方山县,141100
141129,3,中阳县,141100
141130,3,交口县,141100
141181,3,孝义市,141100
141182,3,汾阳市,141100
150000,1,内蒙古自治区,100000
150100,2,呼和浩特市,150000
150101,3,市辖区,150100
150102,3,新城区,150100
150103,3,回民区,150100
150104,3,玉泉区,150100
150105,3,赛罕区,150100
150121,3,土默特左旗,150100
150122,3,托克托县,150100
150123,3,和林格尔县,150100
150124,3,清水河县,150100
150125,3,武川县,150100
150200,2,包头市,150000
150201,3,市辖区,150200
150202,3,东河区,150200
150203,3,昆都仑区,150200
150204,3,青山区,150200
150205,3,石拐区,150200
150206,3,白云鄂博矿区,150200
150207,3,九原区,150200
150221,3,土默特右旗,150200
150222,3,固阳县,150200
150223,3,达尔罕茂明安联合旗,150200
150300,2,乌海市,150000
150301,3,市辖区,150300
150302,3,海勃湾区,150300
150303,3,海南区,150300
150304,3,乌达区,150300
150400,2,赤峰市,150000
150401,3,市辖区,150400
150402,3,红山区,150400
150403,3,元宝山区,150400
150404,3,松山区,150400
150421,3,阿鲁科尔沁旗,150400
150422,3,巴林左旗,150400
150423,3,巴林右旗,150400
150424,3,林西县,150400
150425,3,克什克腾旗,150400
150426,3,翁牛特旗,150400
150428,3,喀喇沁旗,150400
150429,3,宁城县,150400
150430,3,敖汉旗,150400
150500,2,通辽市,150000
150501,3,市辖区,150500
150502,3,科尔沁区,150500
150521,3,科尔沁左翼中旗,150500
150522,3,科尔沁左翼后旗,150500
150523,3,开鲁县,150500
150524,3,库伦旗,150500
150525,3,奈曼旗,150500
150526,3,扎鲁特旗,150500
150581,3,霍林郭勒市,150500
150600,2,鄂尔多斯市,150000
150601,3,市辖区,150600
150602,3,东胜区,150600
150603,3,康巴什区,150600
150621,3,达拉特旗,150600
150622,3,准格尔旗,150600
150623,3,鄂托克前旗,150600
150624,3,鄂托克旗,150600
150625,3,杭锦旗,150600
150626,3,乌审旗,150600
150627,3,伊金霍洛旗,150600
150700,2,呼伦贝尔市,150000
150701,3,市辖区,150700
150702,3,海拉尔区,150700
150703,3,扎赉诺尔区,150700
150721,3,阿荣旗,150700
150722,3,莫力达瓦达斡尔族自治旗,150700
150723,3,鄂伦春自治旗,150700
150724,3,鄂温克族自治旗,150700
150725,3,陈巴尔虎旗,150700
